Actual Temperature,Predicted Temperature
38.48,36.62317756
39.02,36.41991252
39.56,37.65302268
39.92,38.87834079
41,40.12618
41.18,42.49927237
39.74,44.64778083
41.18,45.19993626
45.32,46.1658982
47.84,47.8331336
49.28,48.06728784
53.24,49.78154065
52.52,50.15388403
53.06,49.849927
52.34,50.28907622
50.72,51.25174671
48.56,51.8403888
47.12,49.90373891
45.32,49.52637069
43.88,49.10014458
43.7,47.27661749
42.08,44.38016018
43.16,43.52099552
41.9,44.0305564
39.92,43.22288209
39.2,43.36729485
37.94,42.25042621
37.58,42.27428081
39.56,44.03726195
39.56,44.75456342
39.02,45.96381984
39.02,45.57730966
40.64,46.9170884
41.9,47.73966191
45.86,48.20231249
45.86,49.57589101
48.02,50.43825644
48.74,51.2336338
48.2,51.46645713
48.2,51.7271684
46.22,51.05807102
44.96,52.46601847
44.78,51.51619423
43.7,47.54634204
42.8,45.39234149
42.62,43.00228662
41.18,41.73506491
40.64,39.87212245
37.76,39.74024157
39.92,38.66644249
39.2,38.3883697
38.84,38.48523907
37.58,42.48948006
38.84,41.74595407
37.76,41.319468
39.74,42.1545777
43.34,42.23273304
46.58,42.78587132
47.84,42.25082177
49.82,43.81200265
52.34,43.48425494
51.26,43.87406262
50.18,44.32039758
49.46,44.14138271
47.3,44.10759243
44.6,43.44936435
45.5,43.39243804
46.58,44.22674971
42.8,41.85595816
45.86,38.95298963
46.94,34.51196243
43.7,32.07826279
42.98,31.6887574
40.64,32.0636702
40.46,33.82354385
39.74,35.60574168
40.1,37.59614992
39.92,39.85828989
39.56,42.19391792
40.28,42.82367249
43.88,43.85624163
47.66,44.21287396
51.26,45.8405869
53.6,45.78380829
53.06,47.74498385
53.42,50.36227755
53.06,51.11740092
52.16,51.2273005
48.56,51.25048921
46.76,51.59595687
45.86,51.18148014
47.48,50.23438424
46.22,47.45918638
44.6,43.66087054
43.52,41.45185499
43.7,38.14825526
42.98,35.65541314
40.64,34.50033569
41.72,34.89191043
40.46,36.41993843
39.56,38.04791738
38.3,41.14610326
39.2,43.05009601
40.82,44.11718955
44.06,45.46017942
47.48,45.80768275
50.54,47.13852509
52.34,47.98957815
55.58,48.56003478
55.94,47.96033684
55.76,49.40985366
55.94,49.61926026
53.78,49.92528751
55.04,50.55467242
55.22,50.71150304
54.32,48.31567626
54.68,44.47439191
53.96,40.20850342
52.88,36.58381315
49.28,34.09005036
,33.01417329
,31.11801576
,31.63107452
,33.60494519
,38.32106725
,38.4026911
,36.64925353
,36.83363353
,38.59097662
,40.17889159
,43.67729066
,44.65156371
,46.65189036
,46.19427239
,45.36598397
,45.72960168
,46.9113329
,43.57363456
,44.72992806
,44.47443854
,41.73639496
,41.78706137
,39.807012
,37.09568522
,38.71329666
,38.58195817
,39.11543757
,40.76981204
,40.64150158
,41.53661397
,41.1465731
,43.16097414
,45.29473714
,43.91328021
,45.40867179
,47.51419274
,50.14437587
,52.14006936
,51.64013624
,50.66754563
,51.06539754
,51.75638467
,52.59084143
,51.04183313
,47.61246731
,45.08789909
,43.85611035
,41.92619191
,40.57666404
,41.54138489
,42.37393293
,43.48898959
,45.41318793
,47.1226724
,48.92320079
,49.0367442
,49.51673471
,50.65527372
,51.55730326
,51.98663599
,51.75809474
,51.67596392
,53.07197501
,52.81405383
,54.01615646
,54.08177172
,54.55186931
,53.700463
,50.85085036
,49.16677337
,47.03366589
,41.3713971
,40.86629276
,39.61172728
,40.21613137
,40.72005594
,43.17463742
,44.19369009
,46.45188481
,49.47575869
,46.31774457
,47.96651036
,51.19421584
,50.84061499
,51.62340952
,52.04789619
,52.90044514
,53.2256325
,53.64927234
,53.8411244
,53.21818117
,50.13889329
,44.33350121
,43.43189228
,40.52390582
,37.48599038
,37.6062687
,37.058689
,36.77465169
,37.1739753
,38.24553747
,39.20483618
,41.22998993
,42.89031164
,43.93765992
,45.5603722
,46.03317006
,47.44021843
,47.91096593
,48.67001209
,49.93293964
,50.61197097
,50.89299061
,50.74608444
,51.17675241
,50.30858051
,50.0496294
,49.43781588
,47.86335173
,46.35046216
,46.56041979
,45.53935994
,45.67429908
,45.77972571
,46.34338438
,47.21870056
,49.28213308
,49.66000223
,52.2669444
,52.1640548
,51.74801743
,53.93876417
,53.72884151
,54.35408642
,56.1893644
,55.145373
,55.66577296
,56.44980125
,55.82161489
,55.10874902
,49.22739878
,42.83300359
,41.1829043
,37.12796753
,35.436184
,34.69908891
,33.76268093
,35.88324099
,39.46734389
,39.69787158
,41.08378074
,40.93004898
,40.05923511
,42.06054462
,43.89204426
,46.37088108
,46.41996007
,46.35617103
,47.07841011
,47.0219666
,47.32168645
,46.82385163
,47.14777587
,46.27606725
,44.75073045
,43.51299965
,40.69736729
,38.45684502
,38.50363527
,38.84513954
,39.66338346
,46.49031559
,51.93997874
,55.52639282
,55.42544865
,52.61259299
,53.38720078
,53.12136103
,53.87924123
,52.81193524
,53.53269226
,53.25478961
,52.6634045
,52.8041907
,53.707172
,53.90044955
,54.70537738
,54.85275598
,52.1178553
,48.24213378
,45.22135358
,43.69832451
,41.79656867
,40.73941945
,40.70096362
,39.13544538
,40.56792369
,41.01962205
,40.99724606
,40.7698604
,41.1296486
,41.71565648
,43.7388186
,41.09132923
,45.38194462
,51.59243395
,51.19091662
,51.29133136
,51.96412267
,52.70871788
,49.3215044
,45.998162
,44.4084126
,41.17575482
,39.9157154
,37.894747
,38.41917858
,39.25019275
,41.97935952
,43.93829731
,45.77534431
,47.51514796
,48.04375194
,48.50067465
,48.83333233
,49.16263034
,50.78260564
,51.51251499
,53.30499741
,54.3992465
,53.82823367
,54.54833344
,56.26923565
,56.1007459
,56.00385364
,56.52055018
,52.72340764
,49.30336298
,46.92127635
,46.67659136
,47.94218419
,45.79349954
,47.90352713
,48.25764186
,49.99254505
,50.68914691
,50.39188075
,49.33083119
,49.43950436
,50.129481
,50.50261895
,52.29042892
,55.14307563
,52.93353498
,51.83497876
,54.16776359
,54.36599645
,54.55633363
,55.54628533
,53.23234884
,48.07326359
,45.03043126
,42.03345298
,40.98224063
,38.92783607
,36.75810202
,37.54828871
,38.42655088
,42.74306777
,45.17366597
,45.10388305
,46.5404353
,44.93516745
,44.72743205
,44.65201627
,46.49930728
,45.76321923
,46.8749352
,48.77328559
,50.15619694
,50.99481314
,51.78878962
,52.68914968
,48.68646589
,44.76639226
,39.79781735
,38.04940981
,35.86799374
,36.48960216
,36.43124389
,36.00882226
,36.77281725
,38.15370502
,39.46529872
,40.85632254
,40.85938512
,40.6741829
,41.07922056
,41.47763904
,41.24747409
,42.34364053
,42.54591062
,41.74717703
,42.25231419
,41.93417223
,42.75800238
,42.16210545
,40.86131974
,39.40210216
,36.31300211
,34.50724506
,33.44796257
,32.38373124
,32.2937436
,33.87490293
,36.3310632
,38.60970274
,40.1447023
,41.76641272
,41.21528333
,42.01891393
,41.74553778
,43.46163366
,44.22243653
,45.06296662
,45.10366973
,45.4211242
,45.67499347
,45.38995172
,45.7585079
,45.68598801
,45.85285967
,45.82448461
,45.73675288
,45.2298521
,45.43537478
,46.02928613
,46.33266708
,47.08707619
,46.88769853
,46.60513983
,47.70307075
,47.39910595
,47.6732594
,48.55323164
,48.80718123
,48.78051192
,49.45469202
,49.10187711
,49.09476736
,49.21029204
,48.90363086
,48.82746196
,49.12032513
,48.69580391
,48.27126023
,47.63691525
,45.64312919
,44.66766427
,43.71020517
,42.6688715
,41.66800947
,39.32054396
,38.04010979
,38.52138544
,38.31179315
,37.6960076
,37.67819697
,37.57011023
,37.22943336
,38.96236565
,40.91186524
,41.22322911
,41.8053643
,42.75957426
,42.26954616
,43.76712457
,45.58759858
,45.15138066
,42.82652606
,39.15429759
,36.703689
,35.12642138
